抽驗日期,檢體名稱,抽驗地點,檢驗結果,不符合規定原因
20260315,蘿蔔乾,新北市三峽區建安國小,不符合規定,殺菌劑Pyraclostrobin	百克敏0.03ppm(標準：0.01ppm以下)
20260309,冷凍玉米粒,新北市土城區頂埔國小,不符合規定,殺蟲劑Chlorfenapyr 克凡派1.3ppm(標準：1.0ppm以下)
20260301,豆干絲,新北市土城區土城國小,不符合規定,殺蟲劑Chlorpyrifos陶斯松0.03ppm(標準：不得檢出)
20260325,素肉,安食達食材通路股份有限公司,不符合規定,殺菌劑Difenoconazole	待克利2.1ppm(標準：1.0ppm以下)
20260309,乳粉,津鼎有限公司,不符合規定,殺菌劑Thifluzamide 賽氟滅0.16ppm(標準：不得檢出)
20260308,棒腿,芬芳烹材股份有限公司,不符合規定,本體未以印刷、打印或壓印方式標示耐熱溫度。
20260309,青江菜,新北市中和區秀山國小,不符合規定,殺蟲劑3-keto Carbofuran3-酮基加保扶0.02ppm、3-O H C arbofuran3-羥基加保扶0.22ppm 、Carbofuran加保扶0.51ppm、Carbosulfan丁基加保扶0.05ppm（標準：0.5ppm以下）
20260314,黃洋蔥,保證責任雲林縣義庄合作農場,不符合規定,殺蟎劑Formetanate	覆滅蟎0.40ppm(標準：不得檢出)	 殺蟲劑Thiamethoxam	賽速安0.04ppm(標準：0.02ppm以下)
20260321,黑芝麻,新北市三峽區三峽國小,不符合規定,殺菌劑Triadimenol	三泰隆 0.27ppm(標準：0.05ppm以下)
20260331,芹菜,新北市板橋區重慶國小,不符合規定,殺蟲劑Fenitrothion 撲滅松0.02ppm(標準：0.01ppｍ以下)
20260330,冷凍玉米筍,新北市新莊區民安國小,不符合規定,1.殺蟲劑賽洛寧(λ-Cyhalothrin)：0.02ppm (標準：0.01ppm)
20260312,九層塔,新北市新莊區中港國小,不符合規定,1.殺菌劑賽氟滅(Thifluzamide)：0.14ppm(標準：不得檢出)
20260327,黑輪,新北市五股區五股國中,不符合規定,殺線蟲劑Fosthiazate 福賽絕0.02ppm(標準：不得檢出)
20260306,南瓜,良朋農產有限公司,不符合規定,殺蟲劑Thiamethoxam	賽速安0.17ppm(標準：0.02ppm以下)
20260307,薑,新北市三重區二重國中,不符合規定,殺草劑Thiobencarb 殺丹0.08ppm(標準：0.01ppm以下)
20260314,冷凍芋泥包,三統食品有限公司,不符合規定,殺蟲劑Cyhalothrin 賽洛寧1.0ppm(標準：0.5ppm以下)
20260317,馬鈴薯,雲林縣十八甲果菜生產合作社,不符合規定,DBP:6.0ppm (指標值:0.6ppm)
20260308,豬里肌肉,新北市新店區安坑國小,不符合規定,殺蟲劑Chlorfenapyr 克凡派2.2ppm(標準：1.0ppm以下)  殺蟲劑Fipronil 芬普尼0.435ppm及芬普尼代謝物Fipronil-sulfone0.083ppm，合計共0.518ppm(標準：0.001ppm以下)  殺蟲劑Indoxacarb 因得克3.7ppm(標準：2.0ppm以下)  殺蟲劑Pyriproxyfen 百利普芬1.53ppm(標準：0.01ppm以下)
20260314,黑豆干,津悅食品有限公司,不符合規定,殺草劑Thiobencarb 殺丹0.08ppm(標準：0.01ppm以下)
20260331,香菜,良朋農產有限公司,不符合規定,殺蟲劑Chlorfenapyr 克凡派1.3ppm(標準：1.0ppm以下)
20260326,小湯圓,新北市三重區碧華國中,不符合規定,殺蟲劑Cyantraniliprole 賽安勃0.34ppm(標準：不得檢出)
20260313,絞肉,樂廚食品有限公司,不符合規定,防腐劑己二烯酸2.3g/kg（標準：2.0g/kg以下）
20260328,凍豆腐,津悅食品有限公司,不符合規定,殺菌劑Difenoconazole 待克利1.2ppm(標準：0.5ppm以下)  殺菌劑Zoxamide 座賽胺0.13ppm(標準：不得檢出)
20260331,傳統豆腐,新北市貢寮區澳底國小,不符合規定,百滅寧:0.09 ppm (標準:0.01ppm以下)
20260325,素米血,津悅食品股份有限公司,不符合規定,脫氧羥四環黴素(Doxycycline): 0.4ppm （標準：0.3 ppm）
20260307,桶柑,新北市萬里區萬里國中,不符合規定,殺蟲劑Thiamethoxam賽速安0.27ppm(標準：0.25ppm以下)
20260316,四角油豆腐,新北市汐止區白雲國小,不符合規定,殺蟲劑Acetamiprid	亞滅培0.29ppm(標準：0.01ppm以下)	 殺蟎劑Hexythiazox	合賽多0.17ppm(標準：0.01ppm以下)	 殺蟎劑Spirodiclofen	賜派芬0.13ppm(標準：0.01ppm以下)
20260315,豆包,新北市泰山區義學國中,不符合規定,殺蟲劑Clothianidin可尼丁0.15 ppm（標準：0.02 ppm以下） 殺蟲劑Thiamethoxam賽速安0.91 ppm（標準：0.25 ppm 以下） 殺蟲劑Trichlorfon三氯松0.08 ppm（標準：0.01 ppm以下） 殺蟲劑Cyhalothrin賽洛寧0.08 ppm（標準：0.01 ppm以下）
20260306,鳳梨,新北市土城區廣福國小,不符合規定,殺蟲劑Thiamethoxam賽速安0.27ppm(標準：0.25ppm以下)
20260307,九層塔,正暘農產股份有限公司,不符合規定,DBP:6.0ppm (指標值:0.6ppm)
20260330,蔭冬瓜,臺北農產,不符合規定,殺草劑Oxadiazon 樂滅草0.04ppm(標準：0.01ppm以下)
20260324,米血糕,新北市鶯歌區建國國小,不符合規定,殺蟲劑Spinetoram 賜諾特0.02ppm(標準：不得檢出)
20260313,白花椰菜,新北市新莊區中平國中,不符合規定,殺蟎劑	Spirodiclofen	賜派芬0.02ppm(標準：0.01ppm以下)
20260307,台灣鯛魚片,新北市淡水區水源國小,不符合規定,乃卡巴精(nicarbazin): 0.016 ppm (標準:不得檢出)
20260309,肉丁(豬前腿),嘉一香食品股份有限公司,不符合規定,殺蟲劑Cypermethrin	賽滅寧 0.04ppm(標準：0.03ppm以下)	 殺蟲劑Deltamethrin	第滅寧 0.04ppm(標準：0.03ppm以下) 殺菌劑Tebuconazole	得克利 0.72ppm(標準：0.05ppm以下)
20260330,豆漿,新北市蘆洲區忠義國小,不符合規定,殺草劑Oxadiazon 樂滅草0.04ppm(標準：0.01ppm以下)
20260329,冷凍秋葵,新北市中和區中和國小,不符合規定,檢出防腐劑「苯甲酸」惟未於成分內容物標示。
20260309,蘭花干,津悅食品有限公司,不符合規定,DBP:6.0ppm (指標值:0.6ppm)
20260322,腰果,芬芳烹材股份有限公司,不符合規定,殺蟲劑Cypermethrin	賽滅寧 0.11ppm(標準：0.03ppm以下)
20260314,骨腿,冠霖物流有限公司,不符合規定,腸桿菌科：40 CFU/g (標準：10 CFU/g)
20260325,榨菜,家品商行,不符合規定,檢出防腐劑「苯甲酸」惟未於成分內容物標示。
20260325,肉絲,新北市新莊區中港國小,不符合規定,殺蟲劑Flonicamid 氟尼胺0.02ppm(標準：0.01ppm以下)
20260311,豆捲,津悅食品有限公司,不符合規定,殺蟲劑Chlorpyrifos陶斯松1.14ppm(標準：不得檢出)  殺蟲劑Fenvalerate	芬化利1.2ppm(標準：1.0ppm以下)	 殺蟲劑Permethrin	百滅寧0.97ppm(標準：0.01ppm以下)
20260307,紅蘿蔔,新北市板橋區板橋國中,不符合規定,殺菌劑Chlorothalonil	四氯異苯腈3.9ppm(標準：2.0ppm以下)
20260312,有機小芥菜,新北市永和區私立竹林國小,不符合規定,1.殺菌劑賽氟滅(Thifluzamide)：0.14ppm(標準：不得檢出)
20260314,糙米,新北市板橋區國光國小,不符合規定,殺蟲劑Fenitrothion 撲滅松0.03ppm(標準：0.01ppm以下)  殺菌劑Procymidone 撲滅寧0.02ppm(標準：0.01ppm以下)
20260301,香菇(小),保證責任彰化縣菇類生產合作社,不符合規定,殺蟲劑Acetamiprid亞滅培1.08ppm（標準：0.05ppm以下） 殺蟲劑Bifenthrin畢芬寧0.07ppm（標準：0.03ppm以下） 殺蟲劑Carbofuran加保扶0.82ppm（標準：不得檢出）殺蟲劑Chlorpyrifos陶斯松0.35ppm（標準：不得檢出）殺蟲劑Clothianidin可尼丁0.08ppm（標準：0.03ppm以下） 殺菌劑Difenoconazole待克利0.32ppm（標準：0.05ppm以下） 殺蟲劑Imidacloprid益達胺0.27ppm（標準：0.05ppm以下） 殺菌劑Pyraclostrobin百克敏0.57ppm（標準：0.05ppm以下） 殺菌劑Tebuconazole得克利0.85ppm（標準：0.05ppm以下 殺蟲劑Cyhalothrin賽洛寧0.08ppm（標準：0.03ppm以下）
20260326,韮菜,新北市三峽區介壽國小,不符合規定,殺菌劑Dimethomorph 達滅芬2.9ppm(標準：2.5ppm以下)  殺蟲劑Indoxacarb 因得克0.03ppm(標準：0.01ppm以下)
20260309,肉絲(豬後腿),泓霖食品工業有限公司,不符合規定,檢出著色劑「食用色素紅色六號」、「食用色素黃色五號」及「食用色素藍色一號」及甜味劑「甘草素」，惟未於成分內容物標示。
20260316,冷凍雞塊,新北市板橋區中山國中,不符合規定,殺蟲劑Cyromazine	賽滅淨0.02ppm(標準：不得檢出)
20260301,結球白菜,新北市泰山區同榮國小,不符合規定,殺蟲劑Cyromazine	賽滅淨0.02ppm(標準：不得檢出)
20260301,香菜,雲林縣十八甲果菜生產合作社,不符合規定,殺蟲劑3-酮基加保扶（ 3-keto Carbofuran） 0.04ppm、3-羥基加保扶（ 3-OH Carbofuran）0.54ppm、加保扶（Carbofuran）1.06ppm、丁基加保扶（Carbosulfan）0.20ppm（標準：0.5ppm以下） 殺蟎劑Spirodiclofen賜派芬0.11ppm（標準：0.01ppm以下）
20260306,骨腿,佳世福有限公司,不符合規定,殺蟲劑Cyromazine 賽滅淨0.48ppm(標準：不得檢出)  殺蟎劑Pyridaben 畢達本0.04ppm(標準：不得檢出)
20260329,小米,東昇米糧食品有限公司,不符合規定,殺菌劑Dimethomorph 達滅芬0.02ppm(標準：0.01ppm以下)  殺菌劑Procymidone 撲滅寧0.09ppm(標準：0.01ppm以下)
20260327,菲力雞排,新北市永和區頂溪國小,不符合規定,重金屬鎘5mg/kg(標準：2mg/kg以下)
20260304,芋頭塊,芬芳烹材股份有限公司,不符合規定,殺蟲劑Cyromazine	賽滅淨0.02ppm(標準：不得檢出)
20260302,榨菜,新祥紀食品有限公司,不符合規定,殺菌劑Bupirimate	布瑞莫0.02ppm(標準：0.01ppm以下)	 殺菌劑Prochloraz	撲克拉0.69ppm(標準：0.01ppm以下)	 殺蟲劑Pyriproxyfen	百利普芬0.6ppm(標準：0.2ppm以下)	 殺蟲劑Spinetoram	賜諾特0.08ppm(標準：0.05ppm以下)	 殺蟲劑Tolfenpyrad	脫芬瑞0.07ppm(標準：0.01ppm以下)
20260306,義大利麵,正成商行,不符合規定,己二烯酸 1.0g/kg (標準:不得檢出)
20260303,冬粉,新北市板橋區大觀國小,不符合規定,殺菌劑Boscalid	白克列21.87ppm(標準：0.01ppm以下)	 殺菌劑Procymidone	撲滅寧10.3ppm(標準：5.0ppm以下)
20260306,白米,陸穀實業股份有限公司,不符合規定,殺蟲劑Thiamethoxam 賽速安0.38ppm(標準：0.25ppm以下)
