"agency codes",sname,areacode,district,pzoon,fzoon,mark
382083200Y,文聖國小,65000010,板橋區,嵐翠里、文聖里、福翠里、懷翠里、龍翠里、松柏里、港嘴里（4－7、19、20鄰）,"一、青翠里、松翠里（9－13、17、18鄰）【文聖、江翠國小自由學區】 二、港嘴里（1－3、18、22－24鄰）【文聖、莒光國小自由學區】",青翠里為文聖、江翠國小自由學區。
382083400Y,文德國小,65000010,板橋區,德翠里、新海里、公館里、幸福里、文德里、新生里、金華里、國光里（17－20鄰）、港德里（20、24－29鄰）,"一、漢生里【文德、板橋國小自由學區】 二、港尾里【文德、國光國小自由學區】 三、宏翠里1鄰【文德、新埔國小自由學區】","◎港德里可經里辦公處證明後請文德國小考量配合就讀。 國光里(1-16鄰)可經里辦公處證明後請文德國小考量配合就讀（5名為限）；中正里(12-18、25、27鄰)自112學年度起可經里辦公處證明後請文德國小考量配合就讀（10名為限）。
◎文德里12鄰自112學年度起調整為文德國小及新埔國小自由學區，惟須符合額滿學校之相關申請程序。
◎中正里113學年度維持不變，自114 學年度起調整為12-18、 24、25、27鄰可經里辦公處證明後請文德國小考量配合就讀（10名為限）。"
382083800Y,實踐國小,65000010,板橋區,"一、福祿里、福德里（8－25鄰）、國泰里、後埔里（14－17鄰）、福丘里（1－7鄰） 二、中和區民生里、國光里（1－12、23－39鄰）、德穗里（1－7、26－29鄰）","一、後埔里（1－13鄰）【實踐、後埔國小自由學區】 二、中和區國光里（13－22鄰）【實踐、中和區自強國小自由學區】","◎後埔里(14-17鄰)可經里辦公處證明後請後埔國小考量配合就讀。 "
382084200Y,大觀國小,65000010,板橋區,華中里、僑中里、大觀里、歡園里、浮洲里,湳興里【大觀、板橋、後埔國小自由學區】,"一、    109年3月2日起浮洲里調整: 大觀路1段38巷8、10、12、16號，原21鄰併至24鄰。 大觀路1段38巷18、20、22、26號，原21鄰併至25鄰。"
382084000Y,溪洲國小,65000010,板橋區,溪洲里、溪福里、堂春里,,"◎108學年度調整過渡期間，溪洲里、溪福里、堂春里學生仍可就讀沙崙國小。 ◎109學年度起溪 洲里、溪福里、堂春里正式調整為溪州國小基本學區，並於109學年度學區調整會議中研議開放上述3里每里5名學童申請就讀沙崙國小之相關措施。
◎110學年度起取消溪洲里、溪福里與堂春里每里5位名額就讀沙崙國小。"
382084100Y,信義國小,65000010,板橋區,"一、華德里、信義里、華東里（除1-6、19-21鄰） 二、土城區瑞興里、復興里","一、土城區貨饒里【信義、土城區樂利國小自由學區】 二、土城區廣興里（6－18鄰）【信義、土城區廣福國小自由學區】",◎華東里105年11月進行里鄰整編，原第4鄰改劃為第20、21鄰，原第5鄰改劃為第6鄰，原第6鄰併入第8、10鄰。
382085300Y,重慶國小,65000010,板橋區,和平里、廣福里、五權里、重慶里（1－4、14－16、20、26－29、32、36－38鄰）,"一、重慶里（5－13、17－19、21－25、30－31、33－35鄰）【重慶、後埔國小自由學區】 二、中和區壽德里、明德里【重慶、中和區自強國小自由學區】",
382087500Y,"中和區 光復國小",65000010,板橋區,福壽里、居仁里、富貴里、長壽里、光復里、埔墘里（1－17鄰）,,"一、106學年度前(含106學年度)開放為板橋區、中和區全區自由學區。 二、板橋區海山、莒光、埔墘國小、中和區積穗國小學區及板橋區宏翠里之學童107學年度仍可就讀光復國小，其餘板橋、中和區之學童回歸原學區就讀。上述4校及板橋區宏翠里外之學童，倘有兄姐現就讀光復國小，得提出申請隨兄姐就讀。
◎ 111學年度起，取消中和區積穗國小學區內學童至光復國小就讀，倘有兄姐現就讀光復國小，得提出申請隨兄姐就讀。"
382085800Y,土城國小,65000130,土城區,土城里、埤塘里、員仁里、員信里、員林里、員福里、大安里、長風里,"一、柑林里（1－15、17－18鄰）【土城、樂利、廣福、清水國小自由學區】 二、永寧里【土城、頂埔國小自由學區】",
382085900Y,清水國小,65000130,土城區,清水里、永豐里、永富里、清和里、青雲里（1－10、17－18鄰）、清化里、廷寮里、清溪里（8－10、15－43、45－47、50－53鄰）、青山里,"一、柑林里（1－15、17－18鄰）【清水、土城、樂利、廣福國小自由學區】 二、金城里、峰廷里、延吉里、清溪里（1－7、11－14、44、48－49鄰）【清水、安和國小自由學區】",金城里自101學年度調整為清水及安和國小自由學區。
382086300Y,安和國小,65000130,土城區,安和里、延和里,"一、平和里、延壽里、延祿里【安和、中和區自強國小自由學區】 二、金城里、峰廷里、延吉里、清溪里（1－7、11－14、44、48－49鄰）【安和、清水國小自由學區】",金城里自101學年度調整為安和及清水國小自由學區。
382086100Y,廣福國小,65000130,土城區,埤林里（8、10－19、21－38鄰）、廣興里（1－5鄰）、學府里（1－5、10－12、14－22鄰）、廣福里、柑林里（16、19－21鄰）、學士里、中正里、學成里（1－14、18鄰）、青雲里（11－16、19－21鄰）,"一、柑林里（1－15、17－18鄰）【廣福、土城、樂利、清水國小自由學區】 二、學府里（6－9、13鄰）、埤林里（1－7、9、20鄰）【廣福、樂利國小自由學區】 三、廣興里（6－18鄰）【廣福、板橋區信義國小自由學區】",
382086000Y,頂埔國小,65000130,土城區,祖田里、頂新里、頂福里、頂埔里、沛陂里,永寧里【頂埔、土城國小自由學區】,
382086200Y,樂利國小,65000130,土城區,日新里、日和里、裕生里、樂利里、明德里、學成里（15－17鄰）,"一、貨饒里【樂利、板橋區信義國小自由學區】 二、學府里（6－9、13鄰）、埤林里（1－7、9、20鄰）【樂利、廣福國小自由學區】 三、柑林里（1－15、17－18鄰）【樂利、土城、廣福、清水國小自由學區】",
382084100Y,"板橋區 信義國小",65000130,土城區,"一、華德里、信義里、華東里（除1-6、19-21鄰） 二、土城區瑞興里、復興里","一、土城區貨饒里【板橋區信義、土城區樂利國小自由學區】 二、土城區廣興里（6－18鄰）【板橋區信義、土城區廣福國小自由學區】",◎華東里105年11月進行里鄰整編，原第4鄰改劃為第20、21鄰，原第5鄰改劃為第6鄰，原第6鄰併入第8、10鄰。
382089400Y,三多國小,65000070,樹林區,三興里、三福里、三龍里、三多里（6－10、15、17－21鄰）,"一、圳生里（2－9鄰）【三多、武林、文林國小自由學區】 二、三多里（1－5、11－14、16鄰）【三多、武林國小自由學區】三、 三龍里16鄰【三多、新莊區裕民國小之自由學區】","◎ 111學年度起，三龍里16鄰調整為三多國小與新莊區裕民國小之自由學區。"
382088900Y,武林國小,65000070,樹林區,光興里、金寮里、獇寮里,"一、潭底里（1－10鄰）【武林、文林、樹林國小自由學區】 二、圳安里（3鄰）、圳民里（16鄰）【武林、文林國小自由學區】 三、圳生里（2－9鄰）【武林、三多、文林國小自由學區】 四、三多里（1－5、11－14、16鄰）【武林、三多國小自由學區】",
382089300Y,文林國小,65000070,樹林區,"一、文林里、保安里、圳福里、圳安里（1－2、4－23鄰）、潭底里（11－33鄰）、圳生里（1、10、11鄰）、圳民里（1－15鄰）、樹福里（19鄰） 二、新莊區西盛里（14－18鄰、25－29鄰）","一、圳安里（3鄰）、圳民里（16鄰）【文林、武林國小自由學區】 二、潭底里（1－10鄰）【文林、武林、樹林國小自由學區】 三、圳生里（2－9鄰）【文林、三多、武林國小自由學區】 四、新莊區西盛里（12鄰）【文林國小、新莊區光華國小自由學區】  ",
382088700Y,樹林國小,65000070,樹林區,樹北里、樹西里、育英里、樹德里、樹興里、樹東里（1－10、12鄰）、樹福里（1－18、20鄰）、樹人里（7－21鄰）、樹南里（1－11、24－29鄰）,潭底里（1－10鄰）【樹林、文林、武林國小自由學區】,
382089600Y,育林國小,65000070,樹林區,坡內里、東昇里（1－8、17－28鄰）、樹人里（1－6鄰）、樹南里（12－23鄰）,,
382088800Y,大同國小,65000070,樹林區,樹東里（11、16鄰）、太順里、中華里、大同里、和平里（1、2、3、18、19、20、28鄰）、東陽里、東昇里（9－16鄰）、東山里（1鄰）、彭厝里、彭興里（1、2鄰）,"一、彭福里（1－4、17－20鄰）【大同、彭福國小自由學區】 二、樹東里（13鄰）【大同、彭福國小自由學區】",
382089500Y,彭福國小,65000070,樹林區,和平里（4－17、21－27鄰）、樹東里（14、15鄰）、彭興里（3－41鄰）、彭福里（5－16、21－33鄰）,"一、彭福里（1－4、17－20鄰）【彭福、大同國小自由學區】 二、樹東里（13鄰）【彭福、大同國小自由學區】",
382089000Y,山佳國小,65000070,樹林區,東山里（2－20鄰）、山佳里（5－18鄰）,山佳里（1－4、19－21鄰）、中山里（1、22、23鄰）【山佳、育德國小自由學區】,
382089100Y,育德國小,65000070,樹林區,中山里（2－21、24、25鄰）、樂山里,山佳里（1－4、19－21鄰）、中山里（1、22、23鄰）【育德、山佳國小自由學區】,
382089200Y,柑園國小,65000070,樹林區,柑園里（1－6、9－12鄰）、北園里、西園里、東園里,柑園里（7鄰）、南園里（1、3、4、7鄰）【柑園、桃子腳國中小國小部自由學區】,
382061100X,桃子腳國中小國小部,65000070,樹林區,南園里（2、5、6、8－52鄰）、柑園里（8、13－37鄰）,柑園里（7鄰）、南園里（1、3、4、7鄰）【桃子腳國民中小學國小部、柑園國小自由學區】,紅色字體部份係因101年度進行鄰里調整，調整鄰數後，不影響原學區劃分。
382070600Y,鶯歌國小,65000080,"   鶯歌區",永昌里（13－19鄰）、同慶里、南靖里(9、10、11、16、20鄰除外)、中鶯里、北鶯里（1－6、8、12－20鄰）、建德里、東鶯里、尖山里（1－4、9、11－15鄰）,"一、北鶯里（7、9、10、11鄰）【鶯歌、建國國小自由學區】 二、南靖里9、10、11、16、20鄰【鶯歌、三峽區三峽國小自由學區】 三、三峽文化部落龍恩里30、31鄰自由學區【鶯歌、建國、三峽區龍埔、北大、三峽國小自由學區】四、尖山里5、10鄰【鶯歌、二橋國小自由學區】",◎紅色字體部份係因101年度進行鄰里調整，調整鄰數後，不影響原學區劃分。
382082700Y,鳳鳴國小,65000080,"   鶯歌區",鳳鳴里、鳳福里、鳳祥里（23－33鄰）,"一、大湖里【鳳鳴、中湖國小自由學區】。 二、鳳祥里（9-22鄰）【鳳鳴、永吉國小自由學區】。 三、桃園市八德區大發里（6【福德1路177巷除外】、19-21鄰）【鳳鳴國小、桃園市八德區大安國小自由學區】。 四、桃園市八德區大明里（16-19鄰）【鳳鳴、桃園市八德區建國、大安自由學區】。",原桃園縣八德市因升格改制後更為桃園市八德區。
382070700Y,二橋國小,65000080,"   鶯歌區",二橋里、二甲里、尖山里（6、7、8、16鄰）,尖山里5、10鄰【鶯歌、二橋國小自由學區】,
382070800Y,中湖國小,65000080,"   鶯歌區",東湖里、中湖里（4－25鄰）,"一、大湖里【鳳鳴、中湖國小自由學區】 二、中湖里（1－3鄰）【中湖、建國、昌福國小自由學區】",
382084300Y,建國國小,65000080,"   鶯歌區",建國里、西鶯里、南鶯里,"一、中湖里（1－3鄰）【建國、中湖、昌福國小自由學區】 二、北鶯里（7、9、10、11鄰）【建國、鶯歌國小自由學區】 三、三峽文化部落龍恩里30、31鄰自由學區【建國、鶯歌、三峽區龍埔、北大、三峽國小自由學區】",
382086600Y,永吉國小,65000080,"   鶯歌區",永吉里、鳳祥里（1－8鄰）,"一、  鳳祥里（9-22鄰）【永吉、鳳鳴國小自由學區】。 桃園市八德區大發里6鄰福德一路177巷【永吉國小、桃園市八德區大安國小自由學區】。 桃園市八德區大發里7-8鄰【永吉、桃園市八德區大安國小自由學區】。","◎ 103學年度起桃園市八德區大發里6鄰福德一路177巷為永吉、鳳鳴、桃園市八德區大安國小自由學區。 ◎ 103學年度桃園市八德區大發里7-8鄰為永吉、桃園市八德區大安國小自由學區。 ◎ 原桃園縣八德市因升格改制後更為桃園市八德區。"
382089800Y,昌福國小,65000080,"   鶯歌區",永昌里（1－12、20－22鄰）、中湖里（26－27鄰）,中湖里（1－3鄰）【昌福、建國、中湖國小自由學區】,紅色字體部份係因101年度進行鄰里調整，調整鄰數後，不影響原學區劃分。
382090300Y,龍埔國小,65000090,三峽區,"龍學里、龍恩里（1、11-14鄰）、 龍埔里（1-8鄰）",三峽文化部落龍恩里30、31鄰自由學區【龍埔、北大、三峽、鶯歌區鶯歌、建國國小自由學區】,"龍恩里（2-10、15-29鄰）、 龍埔里（9-20鄰）105學年度起調整為北大國小學區。"
382090500Y,北大國小,65000090,三峽區,"龍埔里（9-36鄰）、龍恩里（2-10、15-29鄰）、 永舘里（1、22-25鄰）",三峽文化部落龍恩里30、31鄰自由學區【龍埔、北大、三峽、鶯歌區鶯歌、建國國小自由學區】,105學年度起開始招生。
382070900Y,三峽國小,65000090,三峽區,永舘里（2-21鄰）、秀川里、鳶山里、三峽里,"一、三峽文化部落龍恩里30、31鄰自由學區【三峽、北大、龍埔、鶯歌區鶯歌、建國國小自由學區】 二、鶯歌區南靖里（9、10、11、16、20鄰）【三峽、鶯歌國小自由學區】","一、  鶯歌區南靖里（9、10、11、16、20鄰）【三峽、鶯歌國小自由學區】 永舘里（1、22-25鄰）及龍埔里（21－36鄰）105學年度起調整為北大國小學區。"
382089700Y,中園國小,65000090,三峽區,中埔里、弘道里、八張里、大埔里（1－5鄰）,,
382072300Y,大埔國小,65000090,三峽區,大埔里（6－22鄰）、金圳里（1－6鄰）、二鬮里,,開放為全市自由學區。
382071100Y,成福國小,65000090,三峽區,溪東里、成福里（1－8、12－15鄰）,溪南里、溪北里【成福、介壽國小自由學區】,
382071200Y,大成國小,65000090,三峽區,竹崙里、成福里（9－11、16鄰）,,開放為全市自由學區。
382071000Y,民義國小,65000090,三峽區,嘉添里、添福里,"中正里正義街 【民義、介壽國小自由學區】",開放為全市自由學區。
382071300Y,建安國小,65000090,三峽區,安坑里,,105學年度起開放為全市自由學區。
382071400Y,插角國小,65000090,三峽區,插角里、金圳里（7－12鄰）,,開放為全市自由學區。
382071500Y,有木國小,65000090,三峽區,有木里,,開放為全市自由學區。
382071600Y,五寮國小,65000090,三峽區,五寮里,,開放為全市自由學區。
382084400Y,安溪國小,65000090,三峽區,礁溪里（17－37鄰）、安溪里,,
382086900Y,介壽國小,65000090,三峽區,礁溪里（1－16鄰）、介壽里、中正里,"溪南里、溪北里【介壽、成福國小自由學區】 中正里正義街 【民義、介壽國小自由學區】",
382071700Y,中和國小,65000030,中和區,廟美里、福善里、福真里、福和里、連和里、連城里、枋寮里、漳和里、泰安里、景安里、景文里、正行里、南山里（1－7、10－38鄰）、力行里（1－10、16－18、32、34－38鄰）、新南里（1－25、28－48鄰）、和興里（4－14、19、21－24、27、28、30、42鄰）、瓦磘里（16、21、22、27鄰）、佳和里（1－6、30－40鄰）,"一、中原里（1－6、15－17、21－24鄰）【中和、光復國小自由學區】 二、景平里（1－8、28－33鄰）【中和、復興、景新國小自由學區】 三、中原里（9、11、12、18－20鄰）【中和、積穗、光復國小自由學區】 四、福祥里、福美里、佳和里（7－29鄰）、瓦磘里（1－15、17－20、23－26、28、29鄰）【中和、永和區永平國小自由學區】 五、碧河里（19、22鄰）【中和、錦和國小自由學區】 六、永和區雙和里【中和國小、永和區永和、永平國小自由學區】 七、平河里1-3鄰【積穗、中和國小自由學區】。",
382071800Y,興南國小,65000030,中和區,華新里、頂南里、正南里、東南里、華南里、內南里、壽南里、福南里、橫路里、景新里、忠孝里、景福里（35－37、43－44鄰）,,
382071900Y,積穗國小,65000030,中和區,嘉慶里、嘉穗里、嘉新里、民安里、安穗里、信和里、文元里、積穗里（1－9、12－31、34－45鄰）、平河里（4－67鄰）、員山里（1－10、23、24、36鄰）,"一、灰磘里（7鄰）【積穗、錦和國小自由學區】 二、中原里（9、11、12、18－20鄰）【積穗、中和、光復國小自由學區】 三、中原里（7、8、10、13、14鄰）、員富里【積穗、光復國小自由學區】 四、平河里1-3鄰【積穗、中和國小自由學區】。",紅色字體部份係因101年度進行鄰里調整，調整鄰數後，不影響原學區劃分。
382082000Y,復興國小,65000030,中和區,復興里、外南里、中興里、吉興里、和興里（1－3、15－18、20、25、26、29、31－41鄰）、南山里（8、9鄰）、景福里（1－34、38－42鄰）、新南里（26、27鄰）、德行里（1－21、38－41鄰）,"一、德行里（22－37、42鄰）【復興、錦和國小自由學區】 二、景平里（1－8、28－33鄰）【復興、中和、景新國小自由學區】",
382081800Y,秀山國小,65000030,中和區,秀山里、秀成里、秀義里、秀福里、秀景里、秀水里、秀仁里、秀明里,"一、景平里（9、10、42、43鄰）【秀山、景新國小自由學區】 二、永和區智光里、民治里、民權里【秀山、永和區秀朗國小自由學區】","一、紅色字體部份係因101年度進行鄰里調整，調整鄰數後，不影響原學區劃分。 二、103學年度起永和區民權里調整為秀山、永和區秀朗國小自由學區。"
382082600Y,自強國小,65000030,中和區,清穗里、民享里、民有里、明穗里、自強里、冠穗里、國華里、積穗里（10、11、32、33鄰）、瑞穗里（7－18鄰）、德穗里（8－25、30－32鄰）,"一、壽德里、明德里【自強、板橋區重慶國小自由學區】 二、國光里（13－22鄰）【自強、板橋區實踐國小自由學區】 三、土城區平和里、延壽里、延祿里【自強、土城區安和國小自由學區】",
382082900Y,景新國小,65000030,中和區,景本里、景南里、秀峰里、秀士里、崇南里、興南里、景平里（11－27、34－41鄰）,"一、景平里（9、10、42、43鄰）【景新、秀山國小自由學區】 二、景平里（1－8、28－33鄰）【景新、中和、復興國小自由學區】",紅色字體部份係因101年度進行鄰里調整，調整鄰數後，不影響原學區劃分。
382083100Y,錦和國小,65000030,中和區,錦和里、錦中里、錦昌里、錦盛里、中正里、中山里、仁和里、建和里、力行里（11－15、19－31、33鄰）、碧河里（1－18、20、21、23－27鄰）、灰磘里（1－6鄰）,"一、灰磘里（7鄰）【錦和、積穗國小自由學區】 二、德行里（22－37、42鄰）【錦和、復興國小自由學區】 三、碧河里（19、22鄰）【錦和、中和國小自由學區】",
382087500Y,光復國小,65000030,中和區,板橋區福壽里、居仁里、富貴里、長壽里、光復里、埔墘里（1－17鄰）,"一、中原里（9、11、12、18－20鄰）【光復、中和、積穗國小自由學區】 二、中原里（7、8、10、13、14鄰）、員富里【光復、積穗國小自由學區】 三、中原里（1－6、15－17、21－24鄰）【光復、中和國小自由學區】","一、106學年度前(含106學年度)中和區、板橋區全區自由學區。 二、板橋區海山、莒光、埔墘國小、中和區積穗國小學區及板橋區宏翠里之學童107學年度仍可就讀光復國小，其餘板橋、中和區之學童回歸原學區就讀。上述4校及板橋區宏翠里外之學童，倘有兄姐現就讀光復國小，得提出申請隨兄姐就讀。
◎ 111學年度起，取消中和區積穗國小學區內學童至光復國小就讀，倘有兄姐現就讀光復國小，得提出申請隨兄姐就讀。"
382082800Y,"永和區 永平國小",65000030,中和區,永和區前溪里、保平里、保安里、協和里、和平里、保順里,"一、福祥里、福美里、佳和里（7－29鄰）、瓦磘里（1－15、17－20、23－26、28－29鄰）【中和國小、永和區永平自由學區】 二、永和區雙和里【中和、永和區永平、永和國小自由學區】 三、永和區安和里、水源里（1、7－21鄰）【永和區永和、永平國小自由學區】 四、永和區中溪里（13鄰）【永和區頂溪、永平國小自由學區】 五、新生里（15－18鄰）、中溪里（1－12、14－15、19－20鄰）、下溪里（9、12－15鄰）、大同里（10－18鄰）【永和區永平、頂溪國小自由學區】",新生里（15－18鄰）、中溪里（1－12、14－15、19－20鄰）、下溪里（9、12－15鄰）、大同里（10－18鄰）105學年度起調整為永平、頂溪國小自由學區。
382072000Y,"永和區 永和國小",65000030,中和區,"一、安平里、中安里、安和里、安順里、安樂里、宜安里 二、永和區永安里、永樂里、潭墘里、潭安里、店街里、大新里、福和里、得和里、水源里（2－6鄰）、永貞里（9－13鄰）","一、永和區雙和里【中和國小、永和區永和、永平國小自由學區】 二、永和區安和里、水源里（1、7－21鄰）【永和區永和、永平國小自由學區】",
382082200Y,"板橋區 海山國小",65000030,中和區,"一、瑞穗里（1－6鄰）、員山里（11－22、25－35、 37－42鄰） 二、板橋區民族里、深丘里、香丘里、海山里、長安里、東安里、福丘里（8－19鄰）、九如里（12、13鄰）、新民里（1、10－25鄰）",,◎紅色字體部分係因105年度進行鄰里調整，調整鄰數後，不影響原學區劃分。
382083800Y,"板橋區 實踐國小",65000030,中和區,"一、民生里、國光里（1－12、23－39鄰）、德穗里（1－7、26－29鄰） 二、板橋區福祿里、福德里（8－25鄰）、國泰里、後埔里（14－17鄰）、福丘里（1－7鄰）","一、國光里（13－22鄰）【自強國小、板橋區實踐國小自由學區】 二、板橋區後埔里（1－13鄰）【板橋區實踐國小、後埔國小自由學區】","◎板橋區後埔里（14 －17鄰）經里辦公處證明後請後埔國小考量配合就讀。"
382072200Y,網溪國小,65000040,永和區,網溪里、光復里、復興里、正興里、中興里、永興里、永福里、上林里、福林里、竹林里、桂林里、勵行里、豫溪里、光明里、永貞里（1－8、14－20鄰）,河濱里【網溪、秀朗國小自由學區】,
382072100Y,頂溪國小,65000040,永和區,忠義里、永成里、仁愛里、頂溪里、後溪里、上溪里、信義里、文化里、新廍里、河堤里、新生里（1－14鄰）、中溪里（16－18鄰）、下溪里（1－8、10－11鄰）、大同里（1－9鄰）,"一、中溪里（13鄰）【頂溪、永平國小自由學區】 二、新生里（15－18鄰）、中溪里（1－12、14－15、19－20鄰）、下溪里（9、12－15鄰）、大同里（10－18鄰）【永和區永平、頂溪國小自由學區】",新生里（15－18鄰）、中溪里（1－12、14－15、19－20鄰）、下溪里（9、12－15鄰）、大同里（10－18鄰）105學年度起調整為永平、頂溪國小自由學區。
382081500Y,秀朗國小,65000040,永和區,秀朗里、秀和里、秀得里、秀林里、秀成里、秀元里、民族里、民生里、民本里、民樂里、民富里、永元里,"一、智光里、民治里、民權里【秀朗、中和區秀山國小自由學區】 二、河濱里【秀朗、網溪國小自由學區】",103學年度起民權里調整為秀朗、中和區秀山國小自由學區。
382082800Y,永平國小,65000040,永和區,前溪里、保平里、保安里、協和里、和平里、保順里,"一、雙和里【永平、永和、中和區中和國小自由學區】 二、安和里、水源里（1、7－21鄰）【永平、永和國小自由學區】 三、中溪里（13鄰）【永平、頂溪國小自由學區】 四、中和區福祥里、福美里、佳和里（7－29鄰）、瓦磘里（1－15、17－20、23－26、28－29鄰）【永平、中和區中和國小自由學區】 五、新生里（15－18鄰）、中溪里（1－12、14－15、19－20鄰）、下溪里（9、12－15鄰）、大同里（10－18鄰）【永和區永平、頂溪國小自由學區】",新生里（15－18鄰）、中溪里（1－12、14－15、19－20鄰）、下溪里（9、12－15鄰）、大同里（10－18鄰）105學年度起調整為永平、頂溪國小自由學區。
382072000Y,永和國小,65000040,永和區,"一、 安平里、中安里、安和里、安順里、安樂里、宜安里 永和區永安里、永樂里、潭墘里、潭安里、店街里、大新里、福和里、得和里、水源里（2－6鄰）、永貞里（9－13鄰）","一、永和區雙和里【中和國小、永和區永和、永平國小自由學區】 二、永和區安和里、水源里（1、7－21鄰）【永和區永和、永平國小自由學區】 ",
