抽驗日期,檢體名稱,抽驗地點,檢驗結果,不符合規定原因
20260330,味噌,第一餐盒股份有限公司(玉成國小),不符合規定,腸桿菌科：70 CFU/mL (標準：10 CFU/mL)
20260329,茄子,臺北市文山區興華國小,不符合規定,殺蟲劑Cyantraniliprole 賽安勃0.34ppm(標準：不得檢出)
20260310,韭菜,新北市金山區金美國小,不符合規定,殺蟎劑Formetanate	覆滅蟎0.40ppm(標準：不得檢出)	 殺蟲劑Thiamethoxam	賽速安0.04ppm(標準：0.02ppm以下)
20260328,洋蔥,雙翼食品有限公司,不符合規定,殺菌劑Flutolanil福多寧2.9ppm（標準：2.0ppm以下） 殺蟲劑Methomyl納乃得5.8ppm（標準：3.0ppm以下）
20260329,白米,臺北市信義區吳興國小,不符合規定,"還原型結晶紫（leucocrystal violet, LCV） 0.6 ppb（標準 ：不得檢出）"
20260308,獅子頭,臺北市文山區木柵國小,不符合規定,殺蟲劑Cyhalothrin 賽洛寧1.0ppm(標準：0.5ppm以下)
20260324,洋薏仁,統鮮美食股份有限公司(北市雙永國小),不符合規定,鎘:0.17 mg/kg (標準:0.05 mg/kg以下) 扶吉胺:0.30 ppm (標準:不得檢出)
20260301,米粉,食家安飲食文化股份有限公司,不符合規定,Indoxacarb因得克 0.02ppm (標準:0.01ppm以下)
20260301,傳統豆腐,臺北市內湖區西湖國小,不符合規定,1.黃麴毒素B1：19.0 μg/kg（標準：2 μg/kg以下） 2.總黃麴毒素B1+B2+G1+G2：21.7μg/kg（標準：4 μg/kg以下）
20260330,肉排,雙翼食品有限公司,不符合規定,殺蟎劑Formetanate	覆滅蟎0.40ppm(標準：不得檢出)	 殺蟲劑Thiamethoxam	賽速安0.04ppm(標準：0.02ppm以下)
20260317,櫛瓜,臺北市南港區東新國小,不符合規定,殺蟲劑Deltamethrin 第滅寧1.4ppm(標準：0.5ppm以下)  殺菌劑Pyraclostrobin 百克敏0.6ppm(標準：0.5ppm以下)
20260301,芋頭,新北食品股份有限公司,不符合規定,三甲氧芐氨嘧啶(trimethoprim): 0.1ppm （標準：0.05ppm）
20260312,栗子,新北市新莊區思賢國小,不符合規定,未標示原產地（國）、有效日期標示單獨黏貼未依規定印刷於外包裝上。
20260322,豆腐,宏遠國際餐飲股份有限公司,不符合規定,殺菌劑Dimethomorph 達滅芬2.9ppm(標準：2.5ppm以下)  殺蟲劑Indoxacarb 因得克0.03ppm(標準：0.01ppm以下)
20260330,芹菜,新北市淡水區竹圍國小,不符合規定,殺蟎劑Bifenazate	必芬蟎0.07ppm(標準：不得檢出)
20260317,杏鮑菇,久翔食品股份有限公司,不符合規定,營養標示反式脂肪含量為「每份：0公克/每100公克：0公克」，惟檢出每100公克反式脂肪酸含量0.40公克，依據「包裝食品營養標示應遵行事項」，每100公克固體（半固體）反式脂肪酸含量不超過0.3公克得標示為0，案內產品應依實際數值標示。
20260319,乳酪絲,統鮮美食股份有限公司(碧湖國小),不符合規定,殺蟲劑Fenitrothion 撲滅松0.02ppm(標準：0.01ppｍ以下)
20260312,白蘿蔔,新北食品股份有限公司(新北市蘆洲國小),不符合規定,甲磺氯黴素(Thiamphenicol): 0.005 ppm(標準:不得檢出) 氟滅菌(flumequine): 0.07 ppm(標準:不得檢出)
20260330,洋蔥,新北市萬里區大鵬國小,不符合規定,殺菌劑Boscalid	白克列21.87ppm(標準：0.01ppm以下)	 殺菌劑Procymidone	撲滅寧10.3ppm(標準：5.0ppm以下)
20260331,豬大里肌,臺北市內湖區文湖國小,不符合規定,殺蟲劑Chlorfenapyr 克凡派2.0ppm(標準：1.0ppm以下)  殺蟲劑Indoxacarb 因得克2.4ppm(標準：2.0ppm以下)
20260327,花胡瓜,食家安飲食文化股份有限公司(北市士林國小),不符合規定,殺蟲劑Chlorfenapyr 克凡派1.3ppm(標準：1.0ppm以下)
20260321,毛豆仁,臺北市中山區中山國小,不符合規定,殺菌劑Flutolanil	福多寧0.05ppm(標準：0.01ppm以下)
20260307,湯圓,上將食品有限公司,不符合規定,殺蟲劑Acetamiprid亞滅培1.08ppm（標準：0.05ppm以下） 殺蟲劑Bifenthrin畢芬寧0.07ppm（標準：0.03ppm以下） 殺蟲劑Carbofuran加保扶0.82ppm（標準：不得檢出）殺蟲劑Chlorpyrifos陶斯松0.35ppm（標準：不得檢出）殺蟲劑Clothianidin可尼丁0.08ppm（標準：0.03ppm以下） 殺菌劑Difenoconazole待克利0.32ppm（標準：0.05ppm以下） 殺蟲劑Imidacloprid益達胺0.27ppm（標準：0.05ppm以下） 殺菌劑Pyraclostrobin百克敏0.57ppm（標準：0.05ppm以下） 殺菌劑Tebuconazole得克利0.85ppm（標準：0.05ppm以下 殺蟲劑Cyhalothrin賽洛寧0.08ppm（標準：0.03ppm以下）
20260323,紅蘿蔔,統鮮美食股份有限公司(臺北市北投國小),不符合規定,殺菌劑Triadimenol	三泰隆 0.27ppm(標準：0.05ppm以下)
20260325,四角油豆腐,統鮮美食股份有限公司,不符合規定,除草劑Metolachlor 莫多草0.04ppm(標準：0.01ppm以下)  殺草劑Pendimethalin 施得圃0.2ppm(標準：0.1ppm以下)  殺菌劑Pyraclostrobin 百克敏2.5ppm(標準：2.0ppm以下)  殺蟲劑Terbufos 托福松0.07ppm(標準：0.05ppm以下)
20260312,香菇,新北市汐止區白雲國小,不符合規定,殺蟲劑Methomyl	納乃得3.1ppm(標準：2.0ppm以下)	 殺菌劑Pyraclostrobin	百克敏1.4ppm(標準0.5ppm以下)
20260310,白蘿蔔(長形),新北市瑞芳區九份國小,不符合規定,殺蟲劑Chlorfenapyr 克凡派2.2ppm(標準：1.0ppm以下)  殺蟲劑Fipronil 芬普尼0.435ppm及芬普尼代謝物Fipronil-sulfone0.083ppm，合計共0.518ppm(標準：0.001ppm以下)  殺蟲劑Indoxacarb 因得克3.7ppm(標準：2.0ppm以下)  殺蟲劑Pyriproxyfen 百利普芬1.53ppm(標準：0.01ppm以下)
20260313,蒟蒻小卷,臺北市南港區成德國中,不符合規定,殺蟲劑Buprofezin布芬淨0.02ppm（標準：不得檢出） 殺菌劑Pyraclostrobin百克敏0.8ppm（標準：0.5ppm以下）
20260308,葡萄,臺北市大同區建成國中,不符合規定,殺菌劑Chlorothalonil四氯異苯腈4.1ppm(標準：2.0ppm以下)
20260305,黑輪,全盛美食有限公司,不符合規定,重金屬鎘5mg/kg(標準：2mg/kg以下)
20260316,杏鮑菇,宏遠國際餐飲股份有限公司(台北市太平國小),不符合規定,"1.二、四地(2,4-D)-0.27ppm (標準：0.05ppm) 2.克美素-0.16ppm (標準：不得檢出)"
20260301,洋蔥,新北市新莊區民安國小,不符合規定,殺蟲劑Chlorfenapyr 克凡派2.2ppm(標準：1.0ppm以下)  殺蟲劑Fipronil 芬普尼0.435ppm及芬普尼代謝物Fipronil-sulfone0.083ppm，合計共0.518ppm(標準：0.001ppm以下)  殺蟲劑Indoxacarb 因得克3.7ppm(標準：2.0ppm以下)  殺蟲劑Pyriproxyfen 百利普芬1.53ppm(標準：0.01ppm以下)
20260321,豆干絲,新隆國際有限公司(再興中小學),不符合規定,殺草劑Oxadiazon 樂滅草0.02ppm(標準：0.01ppm以下)
20260313,山東白菜,第一餐盒股份有限公司,不符合規定,重金屬鎘3mg/kg(標準：2mg/kg以下)
20260321,無鹽奶油,臺北市中山區大佳國小,不符合規定,脫氧羥四環黴素(Doxycycline): 0.8ppm （標準：0.3 ppm）
20260330,天婦羅,宏遠國際餐飲股份有限公司,不符合規定,殺蟲劑Diflubenzuron二福隆2.4 ppm（標準：1.0 ppm以下）
20260309,杏鮑菇,第一餐盒股份有限公司,不符合規定,殺蟲劑Thiamethoxam賽速安0.27ppm(標準：0.25ppm以下)
20260329,南瓜,臺北市大安區幸安國小,不符合規定,生長調節劑Gibberellic acid 勃激素A3 0.05ppm(標準：不得檢出)
20260325,帶皮雞胸肉(肉雞),臺北市士林區陽明山國小,不符合規定,殺蟲劑Fipronil-sulfone芬普尼代謝物0.007ppm(標準：0.001ppm以下)  殺菌劑Fluxapyroxad 氟克殺0.7ppm(標準：0.6ppm以下)
20260327,黃豆芽,新北市中和區漳和國中,不符合規定,腸桿菌科：2.6x10^3 CFU/g (標準：10 CFU/g)
20260304,素雞,久翔食品股份有限公司(豐年國小、思賢國小),不符合規定,殺蟲劑Cyromazine 賽滅淨0.48ppm(標準：不得檢出)  殺蟎劑Pyridaben 畢達本0.04ppm(標準：不得檢出)
20260306,切片火腿(豬肉),臺北市大安區大安國小,不符合規定,殺蟲劑Omethoate	歐滅松 0.07ppm(標準：不得檢出)
20260327,地瓜,臺北市士林區芝山國小,不符合規定,殺菌劑Pydiflumetofen	派滅芬0.01ppm(標準：不得檢出)
20260328,小米,久翔食品股份有限公司(新北市立江翠國中),不符合規定,1.檢驗結果檢出防腐劑「己二烯酸」、著色劑「食用色素紅色六號」、甜味劑「紐甜」及「甜菊糖」，惟未於成分內容物標示。 2.產品外包裝未標示「製造廠商或國內負責廠商名稱、電話號碼及地址」及「淨重、容量或數量」，且營養標示未標示「每一份量（或每一份、每份）」。
20260315,粉圓,臺北市大同區蘭州國中,不符合規定,殺蟎劑Bifenazate	必芬蟎0.07ppm(標準：不得檢出)
20260330,海苔絲,臺北市松山區民生國中,不符合規定,(一)內容物為二種以上混合物未依其含量多寡由高至低分別標示。 (二)未標示「淨重、容量或數量」及「原產地（國）」。 (三)內容物含有麩質之穀類、蛋、奶、大豆及其製品，未標示食品過敏原資訊等。
20260303,雞里肌肉,臺北市文山區實踐國中,不符合規定,殺蟲劑Cyromazine 賽滅淨0.12ppm(標準：不得檢出)
20260319,洋菇罐頭,臺北市士林區陽明山國小,不符合規定,鎘:0.17 mg/kg (標準:0.05 mg/kg以下) 扶吉胺:0.30 ppm (標準:不得檢出)
20260310,海帶絲,統鮮美食股份有限公司(新北新市國小),不符合規定,鎘:0.17 mg/kg (標準:0.05 mg/kg以下) 扶吉胺:0.30 ppm (標準:不得檢出)
20260305,有機小白菜,統鮮美食股份有限公司,不符合規定,殺菌劑Carbendazim	貝芬替 0.21ppm(標準：0.05ppm以下)	 殺蟲劑Cypermethrin	賽滅寧 0.21ppm(標準：0.03ppm以下)	 殺蟲劑Fipronil	芬普尼 0.006ppm(標準：0.002ppm以下)	 殺蟲劑Imidacloprid	益達胺 0.29ppm(標準：0.05ppm以下)	 殺菌劑Isoprothiolane	亞賜圃 0.18ppm(標準：0.05ppm以下)
20260302,粳米,全盛美食有限公司,不符合規定,殺蟲劑Imidacloprid益達胺1.7pm（標準：1.0ppm以下）
20260322,彩椒,久翔食品股份有限公司,不符合規定,重金屬鎘3mg/kg(標準：2mg/kg以下)
20260314,香菇,第一餐盒股份有限公司(玉成國小),不符合規定,殺蟲劑Buprofezin布芬淨0.02ppm（標準：不得檢出） 殺菌劑Pyraclostrobin百克敏0.8ppm（標準：0.5ppm以下）
20260306,鵪鶉蛋,新北市三重區三和國中,不符合規定,賽果培(Thiacloprid):0.04 ppm (標準:0.02 ppm)
20260305,洋蔥,新北市永和區福和國中,不符合規定,1.殺蟲劑Acetamiprid亞滅培3.9ppm（標準：2.0ppm以下） 2.產品外包裝標示「天然生機」字樣及產品內附有未檢出農藥殘留之檢驗報告，標示不實且易生誤解
20260324,地瓜圓,宏遠國際餐飲股份有限公司(力行國小),不符合規定,殺草劑Oxadiazon 樂滅草0.02ppm(標準：0.01ppm以下)
20260312,紅藜,統鮮美食股份有限公司(葫蘆國小),不符合規定,殺蟲劑Flonicamid	氟尼胺0.04ppm(標準：0.01ppm以下)
20260326,魷魚羹,新北市板橋區中山國小,不符合規定,本體未以印刷、打印或壓印方式標示耐熱溫度。
20260318,小番茄,臺北市中山區長春國小,不符合規定,殺菌劑Iprobenfos	丙基喜樂松0.05ppm(標準：0.01ppm以下)	 殺菌劑Tricyclazole	三賽唑0.03ppm(標準：不得檢出)
20260309,骨腿,新北市三重區明志國中,不符合規定,未標示原產地（國）、有效日期標示單獨黏貼未依規定印刷於外包裝上。
20260316,凍豆腐,愛欣食品有限公司,不符合規定,殺草劑Ametryn 草殺淨0.03ppm(標準：不得檢出)
20260308,冷凍玉米粒,全盛美食有限公司,不符合規定,殺蟲劑Thiamethoxam 賽速安0.46ppm(標準：0.25ppm以下)
20260316,海帶絲,新北市永和區私立竹林國小,不符合規定,殺菌劑Triadimenol	三泰隆 0.27ppm(標準：0.05ppm以下)
20260318,鯊魚,中原食品工業開發股份有限公司(大屯國小),不符合規定,殺草劑Linuron理有龍0.02ppm（標準：不得檢出）
20260327,黑糖蜜,臺北市士林區士林國中,不符合規定,克美素-0.1ppm (標準：不得檢出)
20260322,醬油,新北市新店區直潭國小,不符合規定,殺蟲劑Thiamethoxam	賽速安0.48ppm(標準：0.25ppm以下)	 殺蟲劑Trichlorfon	三氯松0.04ppm(標準：0.01ppm以下)
20260317,冬瓜,新北市新莊區新莊國中,不符合規定,殺菌劑Bupirimate	布瑞莫0.02ppm(標準：0.01ppm以下)	 殺菌劑Prochloraz	撲克拉0.69ppm(標準：0.01ppm以下)	 殺蟲劑Pyriproxyfen	百利普芬0.6ppm(標準：0.2ppm以下)	 殺蟲劑Spinetoram	賜諾特0.08ppm(標準：0.05ppm以下)	 殺蟲劑Tolfenpyrad	脫芬瑞0.07ppm(標準：0.01ppm以下)
20260326,地瓜,新北市新莊區豐年國小,不符合規定,殺蟲劑Bifenthrin	畢芬寧 0.07ppm(標準：0.03ppm以下) 殺蟲劑Cypermethrin	賽滅寧 0.06ppm(標準：0.03ppm以下) 殺蟲劑Fipronil	芬普尼 0.003ppm(標準：0.002ppm以下)	 殺蟲劑Triazophos	三落松 0.08ppm(標準：0.05ppm以下)
20260318,雞排,久翔食品股份有限公司,不符合規定,殺蟲劑Flonicamid	氟尼胺0.03ppm(標準：0.01ppm以下)
20260324,楊桃,臺北市士林區平等國小,不符合規定,殺蟲劑Cypermethrin	賽滅寧 0.04ppm(標準：0.03ppm以下)	 殺蟲劑Deltamethrin	第滅寧 0.04ppm(標準：0.03ppm以下) 殺菌劑Tebuconazole	得克利 0.72ppm(標準：0.05ppm以下)
20260327,海帶結,臺北市南港區修德國小,不符合規定,殺蟲劑Pyriproxyfen	百利普芬0.19ppm(標準：0.01ppm以下)
20260323,黃秋葵,全盛美食有限公司,不符合規定,三甲氧芐氨嘧啶(trimethoprim): 0.09ppm （標準：0.05ppm）
20260327,蒜泥,臺北市萬華區私立光仁國小,不符合規定,殺菌劑Chlorothalonil四氯異苯腈4.1ppm(標準：2.0ppm以下)
20260309,鴻喜菇,新北市三重區永福國小,不符合規定,殺蟲劑Fenvalerate	芬化利0.03ppm(標準：0.01ppm以下)
20260318,冷凍栗子,新北市蘆洲區鷺江國小,不符合規定,殺菌劑Iprobenfos	丙基喜樂松0.05ppm(標準：0.01ppm以下)	 殺菌劑Tricyclazole	三賽唑0.03ppm(標準：不得檢出)
20260314,小湯圓,新北食品股份有限公司(新北市蘆洲國小),不符合規定,殺蟲劑Cyromazine 賽滅淨0.48ppm(標準：不得檢出)  殺蟎劑Pyridaben 畢達本0.04ppm(標準：不得檢出)
